WORD,POS,FREQ,RANK
音樂,Na,1218, 50.60
隻,Nf,1209, 50.65
廠商,Na,1208, 50.67
女性,Na,1196, 50.85
路,Na,1194, 50.94
工程,Na,1186, 51.09
發展,Na,1181, 51.11
女人,Na,1181, 51.14
句,Nf,1175, 51.18
段,Nf,1174, 51.23
現象,Na,1167, 51.28
人民,Na,1163, 51.30
土地,Na,1161, 51.33
新聞,Na,1152, 51.45
政策,Na,1144, 51.52
計劃,Na,1141, 51.58
人士,Na,1139, 51.63
制度,Na,1128, 51.72
意義,Na,1127, 51.75
課程,Na,1126, 51.77
代表,Na,1126, 51.79
需求,Na,1121, 51.86
人生,Na,1121, 51.91
爸爸,Na,1114, 51.97
產業,Na,1109, 52.02
分,Nf,1100, 52.18
團體,Na,1095, 52.22
價值,Na,1094, 52.24
類,Nf,1091, 52.27
科技,Na,1090, 52.31
標準,Na,1079, 52.53
應用,Na,1075, 52.58
動物,Na,1071, 52.64
電話,Na,1069, 52.66
態度,Na,1067, 52.68
建設,Na,1065, 52.71
事業,Na,1064, 52.73
字,Na,1060, 52.81
目的,Na,1049, 52.96
條件,Na,1044, 53.01
塊,Nf,1043, 53.03
電影,Na,1028, 53.18
科學,Na,1026, 53.22
張,Nf,1019, 53.34
員工,Na,1013, 53.38
自然,Na,1012, 53.45
總統,Na,1006, 53.49
事件,Na,999, 53.57
語言,Na,993, 53.65
故事,Na,991, 53.69
學術,Na,988, 53.71
片,Nf,987, 53.73
設備,Na,986, 53.75
車,Na,985, 53.77
套,Nf,978, 53.89
結構,Na,973, 53.95
管理,Na,967, 54.07
小組,Na,967, 54.09
座,Nf,965, 54.13
學者,Na,956, 54.23
交通,Na,953, 54.26
階段,Na,952, 54.28
主管,Na,951, 54.32
電視,Na,948, 54.38
感覺,Na,948, 54.40
母親,Na,948, 54.42
記者,Na,945, 54.48
壓力,Na,944, 54.51
人們,Na,935, 54.63
身體,Na,922, 54.72
規定,Na,920, 54.74
程度,Na,919, 54.78
知識,Na,917, 54.80
機構,Na,911, 54.85
角色,Na,904, 54.93
狀況,Na,902, 54.95
專家,Na,900, 54.98
比賽,Na,896, 55.06
效果,Na,895, 55.09
父親,Na,888, 55.18
經費,Na,886, 55.20
小孩,Na,871, 55.36
小時,Na,869, 55.38
中國人,Na,868, 55.40
男人,Na,862, 55.49
聲音,Na,859, 55.52
行動,Na,858, 55.56
主義,Na,858, 55.57
山,Na,857, 55.63
興趣,Na,855, 55.66
表現,Na,855, 55.69
主任,Na,848, 55.75
電子,Na,841, 55.82
思想,Na,837, 55.85
頭,Na,834, 55.87
性,Na,824, 56.04
份,Nf,824, 56.05
因素,Na,823, 56.09
價格,Na,820, 56.12
方向,Na,816, 56.17
責任,Na,814, 56.20
工業,Na,813, 56.22
心理,Na,807, 56.28
城市,Na,804, 56.37
業務,Na,794, 56.48
領域,Na,791, 56.58
女,Na,790, 56.61
人才,Na,787, 56.66
行政,Na,785, 56.72
媒體,Na,784, 56.75
代,Na,782, 56.79
力量,Na,780, 56.83
家長,Na,774, 56.93
校長,Na,769, 56.99
特色,Na,765, 57.05
委員,Na,765, 57.07
教師,Na,761, 57.10
本,Nf,757, 57.16
原則,Na,754, 57.19
法,Na,754, 57.21
臉,Na,753, 57.24
工具,Na,751, 57.30
節目,Na,748, 57.33
作業,Na,748, 57.35
國,Na,746, 57.36
智慧,Na,745, 57.38
變化,Na,743, 57.41
形式,Na,742, 57.44
警方,Na,741, 57.47
人口,Na,736, 57.54
規劃,Na,735, 57.56
傳統,Na,731, 57.66
投資,Na,731, 57.69
對象,Na,728, 57.72
範圍,Na,719, 57.91
兒童,Na,719, 57.94
老人,Na,713, 58.04
程式,Na,709, 58.09
婦女,Na,709, 58.10
成本,Na,705, 58.16
部,Nf,704, 58.19
整體,Na,700, 58.27
期間,Na,700, 58.29
小姐,Na,700, 58.34
系列,Na,697, 58.44
報告,Na,687, 58.56
文,Na,685, 58.63
意識,Na,681, 58.68
消費者,Na,681, 58.70
民族,Na,681, 58.71
公尺,Nf,681, 58.72
度,Nf,679, 58.78
官員,Na,676, 58.85
戰爭,Na,673, 58.92
樹,Na,668, 59.04
茶,Na,666, 59.09
會,Na,664, 59.13
成績,Na,662, 59.19
人物,Na,662, 59.20
居民,Na,657, 59.26
感情,Na,648, 59.39
兒子,Na,647, 59.43
理論,Na,643, 59.52
選手,Na,641, 59.55
分鐘,Nf,640, 59.57
眼睛,Na,635, 59.64
眼,Na,635, 59.65
競爭,Na,631, 59.68
專利,Na,631, 59.70
成果,Na,629, 59.71
客戶,Na,627, 59.77
心情,Na,627, 59.78
海,Na,625, 59.83
印象,Na,625, 59.84
層,Nf,622, 59.88
時期,Na,622, 59.89
基礎,Na,621, 59.93
美元,Nf,618, 60.02
課,Na,617, 60.07
實驗,Na,616, 60.11
病人,Na,616, 60.12
部門,Na,613, 60.17
廣告,Na,612, 60.18
商業,Na,609, 60.26
門,Na,606, 60.29
方案,Na,606, 60.33
看法,Na,604, 60.34
措施,Na,603, 60.37
社團,Na,602, 60.40
博士,Na,601, 60.43
道路,Na,600, 60.46
項目,Na,599, 60.50
策略,Na,596, 60.55
原住民,Na,596, 60.56
體育,Na,592, 60.65
地位,Na,592, 60.66
樣,Nf,590, 60.67
法律,Na,589, 60.72
日,Nf,588, 60.76
大型,Na,588, 60.78
意思,Na,587, 60.79
詞,Na,587, 60.80
群,Nf,584, 60.89
速度,Na,581, 60.96
重點,Na,580, 60.97
案,Na,579, 61.02
限制,Na,579, 61.03
利益,Na,578, 61.04
女兒,Na,574, 61.11
人數,Na,570, 61.19
用戶,Na,569, 61.21
主題,Na,569, 61.23
設施,Na,567, 61.25
步,Nf,567, 61.26
文學,Na,567, 61.27
需要,Na,564, 61.32
屆,Nf,562, 61.36
作用,Na,562, 61.38
模式,Na,560, 61.41
動作,Na,560, 61.42
要求,Na,560, 61.44
例,Na,557, 61.51
太太,Na,553, 61.57
宗教,Na,552, 61.61
觀眾,Na,551, 61.63
反應,Na,551, 61.64
立場,Na,550, 61.66
理念,Na,549, 61.67
支,Nf,548, 61.74
少年,Na,548, 61.75
地點,Na,546, 61.81
黨,Na,542, 61.84
危機,Na,541, 61.88
習慣,Na,540, 61.90
院長,Na,540, 61.91
角度,Na,540, 61.94
環保,Na,539, 61.95
期,Nf,539, 61.96
費用,Na,537, 62.01
批,Nf,536, 62.06
上述,Na,536, 62.08
垃圾,Na,532, 62.11
圖,Na,531, 62.13
篇,Nf,528, 62.16
風格,Na,528, 62.18
比例,Na,528, 62.19
機關,Na,527, 62.21
勞工,Na,526, 62.22
情緒,Na,526, 62.23
多媒體,Na,525, 62.25
選舉,Na,524, 62.26
資料庫,Na,524, 62.27
區域,Na,524, 62.29
食物,Na,522, 62.36
趨勢,Na,521, 62.38
消息,Na,521, 62.39
觀點,Na,520, 62.40
番,Nf,520, 62.42
差異,Na,520, 62.45
房子,Na,520, 62.46
青年,Na,519, 62.49
規模,Na,518, 62.52
股,Nf,517, 62.58
人力,Na,516, 62.59
首,Nf,515, 62.60
河川,Na,515, 62.62
水準,Na,515, 62.63
文字,Na,515, 62.64
醫師,Na,512, 62.68
日子,Na,511, 62.76
貿易,Na,510, 62.78
男,Na,508, 62.85
預算,Na,505, 62.91
自由,Na,505, 62.92
樣子,Na,504, 62.97
效率,Na,504, 62.98
理由,Na,496, 63.14
青少年,Na,496, 63.15
來源,Na,496, 63.16
基本,Na,495, 63.20
生物,Na,492, 63.26
氣,Na,491, 63.28
答案,Na,488, 63.34
中文,Na,488, 63.36
可能,Na,486, 63.39
週,Nf,485, 63.40
金融,Na,485, 63.41
農民,Na,484, 63.43
訊息,Na,483, 63.45
法令,Na,483, 63.46
公里,Nf,483, 63.47
聲,Nf,480, 63.50
倍,Na,480, 63.54
民主,Na,480, 63.56
道,Na,479, 63.58
酒,Na,479, 63.59
遊戲,Na,478, 63.61
級,Na,478, 63.62
形象,Na,476, 63.65
選擇,Na,474, 63.68
院士,Na,473, 63.71
氣氛,Na,473, 63.72
生態,Na,471, 63.76
牆,Na,470, 63.79
例子,Na,470, 63.80
汽車,Na,470, 63.81
權力,Na,469, 63.82
媽,Na,469, 63.83
族群,Na,469, 63.85
雜誌,Na,468, 63.87
詩,Na,468, 63.88
船,Na,468, 63.89
小孩子,Na,467, 63.94
大樓,Na,466, 63.98
想法,Na,461, 64.04
醫生,Na,460, 64.05
創作,Na,458, 64.08
森林,Na,457, 64.10
成員,Na,457, 64.12
顆,Nf,456, 64.13
男女,Na,456, 64.15
特性,Na,455, 64.16
影像,Na,453, 64.19
文章,Na,450, 64.29
背景,Na,449, 64.30
通訊,Na,446, 64.36
考試,Na,446, 64.37
心靈,Na,444, 64.41
顧客,Na,443, 64.43
組,Nf,443, 64.46
家人,Na,443, 64.48
腳,Na,442, 64.50
學期,Na,441, 64.53
子女,Na,441, 64.56
技巧,Na,437, 64.62
畫,Na,436, 64.63
回,Nf,435, 64.67
風,Na,434, 64.70
狀態,Na,434, 64.71
弟弟,Na,434, 64.71
治療,Na,432, 64.77
衣服,Na,431, 64.79
名字,Na,431, 64.80
女孩,Na,431, 64.81
男性,Na,430, 64.83
太陽,Na,429, 64.86
口,Nf,429, 64.86
國民,Na,428, 64.89
飛機,Na,428, 64.90
研討會,Na,428, 64.91
建築師,Na,428, 64.92
花,Na,428, 64.92
公路,Na,427, 64.98
校方,Na,425, 65.03
讀者,Na,424, 65.07
數量,Na,424, 65.08
工人,Na,424, 65.10
大會,Na,424, 65.11
特徵,Na,423, 65.13
建議,Na,423, 65.14
材料,Na,423, 65.15
魚,Na,422, 65.16
國人,Na,422, 65.17
統計,Na,421, 65.20
信心,Na,419, 65.24
分析,Na,417, 65.28
一生,Na,415, 65.32
小說,Na,414, 65.33
主席,Na,412, 65.35
集團,Na,411, 65.35
菜,Na,411, 65.36
道德,Na,410, 65.38
理想,Na,410, 65.40
畫面,Na,407, 65.45
建築物,Na,407, 65.48
心態,Na,407, 65.49
醫學,Na,404, 65.54
道理,Na,403, 65.56
型態,Na,403, 65.58
歌,Na,401, 65.59
現實,Na,401, 65.59
婚姻,Na,401, 65.60
色彩,Na,401, 65.61
地球,Na,401, 65.62
論文,Na,400, 65.63
架構,Na,400, 65.64
商品,Na,399, 65.67
市長,Na,399, 65.68
夢,Na,398, 65.69
把,Nf,398, 65.71
檔案,Na,397, 65.72
哥哥,Na,397, 65.73
職業,Na,394, 65.80
說法,Na,394, 65.80
英文,Na,394, 65.82
體系,Na,393, 65.84
兄弟,Na,393, 65.85
間,Nf,392, 65.86
專案,Na,391, 65.87
報導,Na,389, 65.90
疾病,Na,389, 65.91
報紙,Na,387, 65.95
狗,Na,387, 65.96
哲學,Na,386, 66.00
漫畫,Na,385, 66.02
信,Na,385, 66.03
同仁,Na,385, 66.04
資金,Na,384, 66.05
位置,Na,382, 66.11
鳥,Na,381, 66.15
衝突,Na,380, 66.18
筆,Nf,380, 66.20
人文,Na,380, 66.24
障礙,Na,379, 66.25
電信,Na,379, 66.26
焦點,Na,379, 66.27
植物,Na,378, 66.31
攝影,Na,377, 66.33
概念,Na,377, 66.34
面積,Na,377, 66.35
關鍵,Na,376, 66.37
作法,Na,376, 66.40
成就,Na,374, 66.47
人人,Na,374, 66.48
行銷,Na,373, 66.50
年輕人,Na,373, 66.51
教材,Na,372, 66.53
所,Nf,372, 66.54
動詞,Na,371, 66.56
男生,Na,371, 66.57
遊客,Na,370, 66.58
對,Nf,369, 66.60
女生,Na,369, 66.63
丈夫,Na,367, 66.69
數字,Na,366, 66.69
愛,Na,366, 66.70
畫家,Na,366, 66.72
紀錄,Na,366, 66.73
線,Na,364, 66.78
景觀,Na,364, 66.79
演講,Na,363, 66.82
男子,Na,363, 66.85
會員,Na,362, 66.86
空氣,Na,362, 66.88
總經理,Na,360, 66.92
希望,Na,360, 66.94
權利,Na,359, 66.96
照片,Na,358, 66.98
病,Na,358, 66.99
物質,Na,358, 67.00
教練,Na,357, 67.02
住宅,Na,356, 67.05
宇宙,Na,356, 67.05
光,Na,355, 67.07
父母親,Na,353, 67.11
內心,Na,351, 67.18
神,Na,350, 67.18
面,Na,350, 67.19
玻璃,Na,350, 67.20
女子,Na,350, 67.21
市民,Na,349, 67.23
記憶,Na,348, 67.24
年齡,Na,348, 67.25
老闆,Na,347, 67.28
口,Na,346, 67.32
場所,Na,345, 67.32
名,Na,345, 67.34
距離,Na,343, 67.42
年,Na,343, 67.45
規則,Na,342, 67.46
馬,Na,342, 67.47
人性,Na,342, 67.51
實力,Na,341, 67.53
資格,Na,340, 67.57
幹部,Na,340, 67.58
證券,Na,339, 67.60
保險,Na,339, 67.62
改變,Na,339, 67.63
性質,Na,338, 67.66
公斤,Nf,338, 67.68
聯盟,Na,337, 67.69
師生,Na,337, 67.70
立委,Na,337, 67.73
管道,Na,335, 67.76
報,Na,335, 67.77
表演,Na,334, 67.80
細胞,Na,333, 67.81
島,Na,333, 67.82
股票,Na,333, 67.82
作者,Na,333, 67.83
衛生,Na,332, 67.84
病毒,Na,332, 67.86
農業,Na,331, 67.89
情感,Na,330, 67.92
妻子,Na,329, 67.96
經理,Na,328, 67.97
行業,Na,328, 67.98
根,Nf,327, 67.98
城,Na,327, 68.00
主人,Na,327, 68.02
大人,Na,326, 68.04
機器,Na,325, 68.04
橋,Na,324, 68.06
幅,Nf,323, 68.08
公分,Nf,323, 68.10
創意,Na,321, 68.14
做法,Na,321, 68.14
星期,Na,321, 68.16
表面,Na,321, 68.16
車子,Na,321, 68.17
事務,Na,319, 68.22
警察,Na,318, 68.23
意願,Na,318, 68.23
視訊,Na,318, 68.24
個性,Na,318, 68.25
體制,Na,317, 68.27
感受,Na,317, 68.28
陽光,Na,317, 68.29
負責人,Na,317, 68.29
顧問,Na,315, 68.34
妹妹,Na,315, 68.36
權益,Na,314, 68.38
決定,Na,314, 68.40
處,Nf,313, 68.41
詞典,Na,311, 68.43
性格,Na,311, 68.46
年紀,Na,311, 68.47
交易,Na,311, 68.48
大小,Na,310, 68.50
玩具,Na,309, 68.52
文明,Na,307, 68.58
量,Na,306, 68.60
消費,Na,306, 68.61
基金,Na,305, 68.63
金錢,Na,305, 68.65
作家,Na,305, 68.66
好處,Na,305, 68.66
程序,Na,303, 68.70
處,Na,303, 68.71
航空,Na,303, 68.71
法規,Na,303, 68.72
共識,Na,303, 68.73
世紀,Na,303, 68.73
貢獻,Na,302, 68.75
特質,Na,302, 68.76
軍事,Na,301, 68.78
任務,Na,301, 68.78
民意,Na,301, 68.79
輛,Nf,300, 68.79
道,Nf,300, 68.81
球,Na,300, 68.81
挑戰,Na,300, 68.83
河,Na,300, 68.84
一般人,Na,300, 68.84
投資人,Na,298, 68.91
類型,Na,297, 68.92
雨,Na,297, 68.94
波,Nf,297, 68.95
必要,Na,297, 68.95
不同,Na,296, 69.00
聲,Na,295, 69.01
困難,Na,295, 69.02
顏色,Na,294, 69.04
彈性,Na,294, 69.05
硬體,Na,294, 69.05
藝術家,Na,293, 69.08
種子,Na,293, 69.08
規範,Na,293, 69.10
命運,Na,293, 69.13
份子,Na,293, 69.14
癌症,Na,292, 69.14
街,Na,292, 69.16
日本人,Na,292, 69.16
嘴,Na,291, 69.18
外交,Na,290, 69.23
縣長,Na,288, 69.26
樂團,Na,287, 69.30
福利,Na,286, 69.31
主力,Na,286, 69.32
情,Na,285, 69.33
生意,Na,285, 69.37
隊,Nf,284, 69.38
名稱,Na,284, 69.38
衝擊,Na,283, 69.40
資產,Na,283, 69.41
華人,Na,283, 69.42
藥物,Na,282, 69.46
競爭力,Na,281, 69.51
層次,Na,281, 69.51
董事長,Na,281, 69.52
蛇,Na,281, 69.54
堆,Nf,281, 69.55
號,Nf,280, 69.59
飯,Na,280, 69.60
爸,Na,278, 69.65
手法,Na,278, 69.68
PC,Na,277, 69.69
層面,Na,276, 69.70
困擾,Na,276, 69.72
光碟,Na,276, 69.72
機車,Na,275, 69.74
演出,Na,275, 69.75
時,Na,275, 69.77
議員,Na,274, 69.78
衛星,Na,274, 69.79
收入,Na,274, 69.80
註,Na,273, 69.82
房屋,Na,273, 69.83
屋,Na,272, 69.86
所在,Na,272, 69.87
優勢,Na,271, 69.87
結論,Na,271, 69.89
陣,Nf,271, 69.90
牛,Na,271, 69.91
境界,Na,270, 69.93
階級,Na,270, 69.94
流程,Na,270, 69.95
秩序,Na,269, 69.98
客人,Na,269, 69.98
力,Na,269, 69.99
大盤,Na,268, 70.03
財務,Na,267, 70.05
日,Na,267, 70.05
錯誤,Na,265, 70.06
傷害,Na,265, 70.07
差距,Na,265, 70.08
面,Nf,265, 70.08
移民,Na,264, 70.10
同事,Na,264, 70.12
台,Nf,264, 70.13
導演,Na,263, 70.14
球員,Na,263, 70.15
將軍,Na,263, 70.16
造型,Na,262, 70.20
財產,Na,262, 70.20
記錄,Na,260, 70.26
草案,Na,260, 70.27
性能,Na,260, 70.28
金額,Na,259, 70.33
功課,Na,259, 70.34
場地,Na,258, 70.35
理事長,Na,258, 70.35
主角,Na,258, 70.37
天,Na,258, 70.38
種類,Na,257, 70.40
爺爺,Na,257, 70.41
優點,Na,256, 70.44
事物,Na,256, 70.46
困境,Na,256, 70.47
夫妻,Na,256, 70.48
天氣,Na,256, 70.49
數學,Na,255, 70.49
女士,Na,255, 70.51
大學生,Na,255, 70.51
人事,Na,255, 70.52
班,Na,254, 70.52
風氣,Na,254, 70.53
物,Na,254, 70.53
床,Na,254, 70.54
戲,Na,253, 70.55
樂器,Na,253, 70.56
局,Nf,253, 70.58
安非他命,Na,253, 70.59
能源,Na,252, 70.61
研究員,Na,252, 70.62
學生會,Na,251, 70.63
影片,Na,251, 70.64
白色,Na,251, 70.65
年度,Na,250, 70.68
數據,Na,249, 70.68
缺點,Na,249, 70.69
藥,Na,248, 70.70
條例,Na,248, 70.71
眼光,Na,247, 70.75
參考,Na,247, 70.75
指標,Na,247, 70.76
漢人,Na,246, 70.80
人際,Na,246, 70.82
海洋,Na,245, 70.83
負擔,Na,245, 70.84
冠軍,Na,245, 70.84
爭議,Na,245, 70.85
伺服器,Na,245, 70.87
實質,Na,244, 70.88
意,Na,244, 70.88
部隊,Na,244, 70.89
校務,Na,244, 70.90
信仰,Na,244, 70.90
火車,Na,244, 70.92
獎金,Na,243, 70.92
大師,Na,243, 70.94
課題,Na,242, 70.95
路線,Na,242, 70.95
話題,Na,242, 70.96
英雄,Na,242, 70.97
契約,Na,242, 70.98
學位,Na,241, 71.00
愛情,Na,241, 71.01
水庫,Na,241, 71.04
熊貓,Na,240, 71.07
候選人,Na,240, 71.09
品牌,Na,240, 71.10
會長,Na,239, 71.12
棵,Nf,239, 71.13
症狀,Na,239, 71.13
核心,Na,239, 71.14
座談會,Na,239, 71.14
家具,Na,239, 71.15
內涵,Na,239, 71.16
患者,Na,238, 71.17
火,Na,238, 71.19
境,Na,237, 71.21
明星,Na,237, 71.22
手段,Na,237, 71.25
小型,Na,237, 71.25
動態,Na,236, 71.26
指數,Na,236, 71.27
人格,Na,236, 71.29
學問,Na,235, 71.30
全民,Na,235, 71.34
鳥類,Na,234, 71.37
理性,Na,234, 71.37
挫折,Na,234, 71.38
行程,Na,234, 71.39
石頭,Na,234, 71.39
夫人,Na,234, 71.40
本質,Na,233, 71.42
捷運,Na,232, 71.45
司機,Na,232, 71.46
頭,Nf,231, 71.47
語法,Na,231, 71.48
家族,Na,231, 71.49
頁,Nf,231, 71.50
身心,Na,231, 71.51
女孩子,Na,231, 71.53
舞蹈,Na,230, 71.53
個案,Na,230, 71.54
味道,Na,230, 71.55
下,Nf,230, 71.57
表情,Na,229, 71.60
幫助,Na,228, 71.62
獎勵,Na,228, 71.62
測試,Na,228, 71.64
洞,Na,228, 71.64
助理,Na,228, 71.65
視覺,Na,227, 71.67
個人電腦,Na,227, 71.68
杯,Nf,227, 71.68
步驟,Na,227, 71.69
形態,Na,227, 71.70
血液,Na,227, 71.70
階層,Na,226, 71.73
期望,Na,226, 71.73
病患,Na,226, 71.74
皮膚,Na,226, 71.76
正面,Na,226, 71.76
螢幕,Na,225, 71.78
獎,Na,225, 71.78
武器,Na,225, 71.80
繪畫,Na,224, 71.82
腳步,Na,224, 71.83
設計師,Na,224, 71.84
旅客,Na,224, 71.85
計程車,Na,224, 71.86
用,Na,224, 71.87
導向,Na,223, 71.89
氣候,Na,223, 71.90
勇氣,Na,223, 71.91
生涯,Na,223, 71.92
文件,Na,223, 71.92
化學,Na,223, 71.93
人權,Na,223, 71.94
儀式,Na,222, 71.94
舞台,Na,222, 71.94
義工,Na,222, 71.95
用途,Na,222, 71.96
業主,Na,221, 71.97
案件,Na,221, 71.97
軍隊,Na,221, 71.98
科學家,Na,221, 71.98
題目,Na,220, 72.00
業,Na,220, 72.01
各界,Na,220, 72.03
糧食,Na,219, 72.03
說明,Na,219, 72.04
窗,Na,219, 72.04
決策,Na,219, 72.06
議題,Na,218, 72.07
唱片,Na,218, 72.07
民俗,Na,218, 72.08
構想,Na,217, 72.10
效益,Na,217, 72.12
命,Na,217, 72.12
車輛,Na,217, 72.13
頭髮,Na,216, 72.15
潮流,Na,216, 72.15
領袖,Na,216, 72.15
商人,Na,216, 72.18
台灣人,Na,216, 72.21
大門,Na,216, 72.22
大地,Na,216, 72.22
性別,Na,215, 72.24
書籍,Na,214, 72.27
飲食,Na,213, 72.30
現代人,Na,213, 72.32
情勢,Na,213, 72.32
律師,Na,213, 72.33
肉,Na,213, 72.35
可能性,Na,213, 72.36
戶,Nf,213, 72.36
型,Na,212, 72.38
電力,Na,211, 72.39
差別,Na,211, 72.40
政黨,Na,211, 72.41
言論,Na,211, 72.42
意外,Na,210, 72.44
食品,Na,210, 72.46
房地產,Na,210, 72.47
來賓,Na,210, 72.48
代價,Na,210, 72.48
秒,Nf,209, 72.49
全體,Na,209, 72.50
損失,Na,208, 72.52
手術,Na,208, 72.53
暴力,Na,207, 72.54
腿,Na,207, 72.55
棟,Nf,207, 72.56
血,Na,207, 72.58
公務員,Na,207, 72.59
基因,Na,206, 72.63
風景,Na,206, 72.63
古蹟,Na,206, 72.64
當局,Na,205, 72.64
紙,Na,205, 72.65
格式,Na,205, 72.66
日期,Na,205, 72.67
貨,Na,204, 72.68
現況,Na,204, 72.69
資本,Na,203, 72.72
部屬,Na,203, 72.73
秘書,Na,203, 72.74
主機,Na,203, 72.76
分類,Na,203, 72.77
公頃,Nf,203, 72.77
圖書,Na,202, 72.78
新台幣,Na,202, 72.79
途徑,Na,202, 72.79
問卷,Na,202, 72.80
肚子,Na,202, 72.83
肝炎,Na,202, 72.83
癌,Na,201, 72.85
儒家,Na,201, 72.86
動機,Na,201, 72.88
成分,Na,201, 72.89
印表機,Na,201, 72.90
生理,Na,201, 72.90
月亮,Na,201, 72.91
高科技,Na,200, 72.94
外在,Na,200, 72.95
符號,Na,199, 72.98
娛樂,Na,199, 72.99
風貌,Na,199, 72.99
利潤,Na,199, 72.99
名詞,Na,199, 73.00
句子,Na,199, 73.01
國語,Na,198, 73.03
百貨,Na,198, 73.04
少女,Na,198, 73.05
分子,Na,198, 73.05
黑色,Na,197, 73.07
教科書,Na,197, 73.09
風險,Na,197, 73.09
虎,Na,197, 73.10
台幣,Na,197, 73.11
輩子,Na,196, 73.11
部長,Na,196, 73.13
情報,Na,196, 73.14
飛彈,Na,196, 73.15
上帝,Na,196, 73.16
權,Na,195, 73.17
戰,Na,195, 73.17
經銷商,Na,195, 73.18
專題,Na,195, 73.20
案例,Na,195, 73.21
美,Na,195, 73.21
威脅,Na,195, 73.22
愛心,Na,194, 73.24
音,Na,194, 73.25
天地,Na,194, 73.26
節,Nf,193, 73.27
景氣,Na,193, 73.28
單元,Na,193, 73.28
時機,Na,193, 73.30
時刻,Na,193, 73.30
重要性,Na,193, 73.30
待遇,Na,193, 73.31
身分,Na,193, 73.31
子,Na,193, 73.33
豬,Na,192, 73.33
潛力,Na,192, 73.34
黃金,Na,192, 73.35
街道,Na,192, 73.35
財產權,Na,192, 73.36
地理,Na,192, 73.37
公主,Na,192, 73.39
真理,Na,191, 73.41
工程師,Na,191, 73.43
點,Na,190, 73.43
版本,Na,190, 73.46
法則,Na,190, 73.47
定義,Na,190, 73.48
事項,Na,190, 73.49
鄰居,Na,189, 73.50
模型,Na,189, 73.50
循環,Na,189, 73.52
瓷器,Na,189, 73.53
前途,Na,189, 73.54
官方,Na,189, 73.55
成效,Na,189, 73.56
合約,Na,189, 73.56
人群,Na,189, 73.57
雞,Na,188, 73.57
傳說,Na,188, 73.58
動力,Na,188, 73.59
金,Na,188, 73.60
油,Na,188, 73.60
公車,Na,188, 73.61
美術,Na,187, 73.65
